SL.No	Title 	Category 	Description 	Link	Class
11	বাংলাদেশ আবারও আসবে, নিউজিল্যান্ড মন্ত্রীর আশা	খেলা	নিউজিল্যান্ডের ক্রীড়ামন্ত্রীর গ্রান্ট রবার্টসনের আশা, বাংলাদেশ দল আবারও নিউজিল্যান্ড সফর করবে	www.prothomalo.com/sports/article/1584728/বাংলাদেশ-আবারও-আসবে-নিউজিল্যান্ড-মন্ত্রীর-আশা	Real 
12	হিজাব পরে মসজিদে মসজিদে হাজারো অমুসলিম নারী	বিদেশ	গত শুক্রবার নিউজিল্যান্ডের ক্রাইস্টচার্চ এলাকায় যে দুটি মসজিদে সন্ত্রাসী হামলার ঘটনা ঘটেছে সেখানে আজ (শুক্রবার) জুমার নামাজের সময় দেশটির হাজারো অমুসলিম নারী হিজাব পরে মুসলিম নারীদের প্রতি সংহতি জানাতে হাজির হয়েছিলেন। গত শুক্রবার ক্রাইস্টচার্চের আল নুর ও লিনউড মসজিদে জুমার নামাজ চলাকালীন বন্দুকধারীর হামলায় ৫০ মুসল্লি নিহত হন। ব্রিটিশ সংবাদ সংস্থা রয়টার্সের প্রতিবেদনে জানানো হয়েছে, নৃশংস ওই হত্যাকাণ্ডের পর থেকে দেশটিতে বসবাসরত মুসলিম নারীরা হিজাব পরে বাইরে বের হতে ভয় পাচ্ছেন। তারা আশঙ্কা করছেন, যদি হিজাব পড়ে বাইরে বের হন তাহলে তাদের ওপরও সন্ত্রাসী হামলা হতে পারে।	www.kalerkantho.com/online/world/2019/03/22/750086	Real
13	অবস্থা ভালো হলে মধ্য এপ্রিলেই দেশে ফিরবেন কাদের	রাজনীতি	অবস্থা ভালো হলে এপ্রিলের মাঝামাঝিতেই দেশে ফিরতে পারেন আওয়ামী লীগ সাধারণ সম্পাদক ওবায়দুল কাদের। তিনি এখন সিংঙ্গাপুরে চিকিৎসাধীন আছেন। এরই মধ্যে তার হার্টের বাইপাস সার্জারি সম্পন্ন হয়েছে। বর্তমানে পোস্ট অপারেটিভ নিবিড় পরিচর্যায় রয়েছেন। দুই-একদিনের মধ্যে তাকে কেবিনে পাঠানো হতে পারে। আর সব মিলিয়ে মধ্য এপ্রিলের দিকে পুরোপুরি সুস্থ হয়ে উঠলে তার দেশে ফেরা সম্ভব হবে।	www.dailynayadiganta.com/politics/397291/অবস্থা-ভালো-হলে-মধ্য-এপ্রিলেই-দেশে-ফিরবেন-কাদের	Real
14	বরিশালে বাস-মাহেন্দ্র সংঘর্ষ, প্রাণ গেলো ৬ জনের	সারা বাংলা	বরিশালের বাবুগঞ্জ উপজেলায় বাস ও মাহেন্দ্রর সংঘর্ষে ছয়জন নিহত হয়েছেন। এ ঘটনায় আহত হয়েছেন শিশুসহ আরও চারজন।উপজেলার তেতুঁলতলা এলাকার বরিশাল-বানারীপাড়া সড়কে শুক্রবার (২২মার্চ) সকাল সাড়ে ৯টার দিকে এ দুর্ঘটনায় হতাহতরা সবাই মাহেন্দ্র যাত্রী।	www.amar-sangbad.com/sara-bangla/articles/100939	Real
15	আমাদের বিশ্বাস প্রধানমন্ত্রী খালি হাতে ফেরাবেন না’	জাতীয়	বারবার প্রতিশ্রুতি দেওয়া হলেও এমপিওভুক্তির দাবি মানা হয়নি বলে জানালেন নন-এমপিও শিক্ষক-কর্মচারীরা। তাই এবার প্রধানমন্ত্রীর সাক্ষাৎ ও সুনির্দিষ্টভাবে লিখিত আকারে এমপিওভুক্তির ঘোষণা না আসা পর্যন্ত তারা জাতীয় প্রেসক্লাবের সামনেই অবস্থান করবেন। শুক্রবার রাজধানীর জাতীয় প্রেসক্লাবের সামনে চলছে এমপিওভুক্তির দাবিতে শিক্ষক ও কর্মচারীদের তৃতীয় দিনের মতো অবস্থান কর্মসূচি। দেশের বিভিন্ন প্রান্ত থেকে আসা শিক্ষক-কর্মচারীরা বুধবার থেকে প্রেসক্লাবের সামনে এই অবস্থান কর্মসূচি পালন করছেন। 	http://www.allbanglanewspaper.xyz/newspapers.php?q=protidinersangbad.com	Real
16	অনিয়ম নিয়ে কথা বলতেই দায়িত্ব নিচ্ছি: ভিপি নুর	শিক্ষাঙ্গন	বিশ্ববিদ্যালয়ের বিভিন্ন অনিয়ম এবং ডাকসু নির্বাচনের অনিয়মের বিরুদ্ধে আন্দোলনকে আরও বেগবান করার জন্য আমরা দায়িত্ব নিচ্ছি বলে জানিয়েছেন ডাকসুর নবনির্বাচিত ভিপি নুরুল হক নুর।	http://www.jugantor.com/campus/158109/অনিয়ম-নিয়ে-কথা-বলতেই-দায়িত্ব-নিচ্ছি-ভিপি-নুর	Real
17	ঢাকার রাস্তায় বিশৃঙ্খলা বন্ধে রাজনৈতিক সিদ্ধান্ত প্রয়োজন	জাতীয়	নিরাপদ সড়কের দাবীতে শিক্ষার্থীরা বারবার রাস্তায় নেমে আসছে এবং সরকারও বারবার তাদের শান্ত করে নানারকম প্রতিশ্রুতি দিচ্ছে।কিন্তু পরিস্থিতির তেমন কোন পরিবর্তন হচ্ছে না।গতকাল ডিএমপি কমিশনার আছাদুজ্জামান পুলিশের ব্যর্থতা স্বীকার করে বলেছেন এই ব্যর্থতা সবার।কেউ যথাযথভাবে দায়িত্ব পালন করতে পারছেন না।এ অবস্থায় সড়কে শৃংখলা ফিরিয়ে আনতে কঠোর রাজনৈতিক সিদ্ধান্তের কোন বিকল্প নেই বলে সংশ্লিষ্ট বিশেষজ্ঞরা মনে করছেন।	http://www.allbanglanewspaper.xyz/newspapers.php?q=dailysangram.com	Real
18	সড়কে আর কত স্বপ্নের মৃত্যু	দুর্ঘটনা	মৃত্যুর মিছিল থামছেই না। আট মাস আগে সড়ক দুর্ঘটনায় রমিজউদ্দিনের দুই শিক্ষার্থীর মর্মান্তিক মৃত্যুতে দেশজুড়ে নিরাপদ সড়কের দাবিতে কঠোর আন্দোলন হলেও টনক নড়েনি কর্তৃপক্ষের। পরিস্থিতি একটুও বদলায়নি। সবশেষ মঙ্গলবার রাজধানীতে বিইউপির ছাত্র আবরার নিহত হলে আবারো নিরাপদ সড়ক চেয়ে উত্তপ্ত রাজপথ। চলছে আন্দোলন। একদিকে যখন নিরাপদ সড়কের দাবি অন্যদিকে চালকদের বেপরোয়াগতিতে গাড়ি চালানোয় মৃত্যুর সংখ্যাও বেড়েই চলেছে।	http://mzamin.com/article.php?mzamin=164743&cat=2/%E0%A6%B8%E0%A7%9C%E0%A6%95%E0%A7%87-%E0%A6%86%E0%A6%B0-%E0%A6%95%E0%A6%A4-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81	Real
19	আওয়ামী লীগের জন্য ৫ চ্যালেঞ্জ!	রাজনীতি	বাংলা ইনসাইডার : টানা তৃতীয় মেয়াদে ক্ষমতায় এসেছে আওয়ামী লীগ। তৃতীয় মেয়াদে ক্ষমতায় আসার পথে আওয়ামী লীগ তার প্রতিপক্ষকে প্রায় নিষ্ক্রিয় করে ফেলেছে। দেশে কার্যত কোনো বিরোধী দল নেই। অন্যান্য রাজনৈতিক দলগুলোও মৃতপ্রায়। আওয়ামী লীগের যে শরিক ১৪ দল ছিল সেই ১৪ দলকেও মন্ত্রিসভা থেকে ছেঁটে ফেলা হয়েছে। সেই ১৪ দলের অস্তিত্ব এখন নিভু নিভু। এই রাজনীতিবিহীন মাঠে আওয়ামী লীগ একাই এককভাবে শক্তিশালী। কাজেই আপাত দৃষ্টিতে আওয়ামী লীগের কোনো রাজনৈতিক প্রতিপক্ষ নেই। রাজনৈতিক কোনো আন্দোলন সংগ্রাম আগামী কিছুদিন আওয়ামী লীগকে যে মোকাবেলা করতে হবে না সেটা প্রায় নিশ্চিতভাবেই বলা যায়। কিন্তু রাজনৈতিক আন্দোলন নয়, রাজনৈতিক দলের কোনো প্রতিবাদ বিক্ষোভ নয়, আওয়ামী লীগ কিছু সামাজিক ইস্যু এবং সামাজিক আন্দোলন নিয়ে কিছুটা সতর্ক অবস্থানে রয়েছে। আওয়ামী লীগ নেতারা মনে করছেন রাজনীতি না থাকার যেমন সুবিধা আছে, ঠিক তেমনি অসুবিধাও অনেক। রাজনীতি না থাকার ফলে সামাজিক এবং গণদাবির ইস্যুগুলো হঠাৎ করে মাথাচাড়া দিয়ে উঠতে পারে এবং সরকারকে একটা বিব্রতকর অবস্থার মধ্যে ফেলতে পারে। আওয়ামী লীগ যে পাঁচটি ইস্যু নিয়ে নিজেদের মধ্যেই সতর্কবার্তা জারি করেছে, সেগুলো হলো: নিরাপদ সড়ক আন্দোলন , গ্যাসের মূল্যবৃদ্ধির আন্দোলন ,নতুন ভ্যাট আইনের আন্দোলন, বিভিন্ন দুর্ঘটনা, ছায়ার সঙ্গে যুদ্ধ	http://www.allbanglanewspaper.xyz/newspaper-browser.php?q=amadershomoys.com	Real
20	অনিয়ম-কারচুপি ঠেকাতেই ব্যবহার হচ্ছে ইভিএম: ইসি রফিকুল	রাজনীতি	নির্বাচনে অনিয়ম, কারচুপি ও জাল ভোট ঠেকাতেই ইলেকট্রনিক ভোটিং মেশিন (ইভিএম) ব্যবহার করতে হচ্ছে বলে জানিয়েছেন নির্বাচন কমিশনার (ইসি) মো. রফিকুল ইসলাম।	http://www.allbanglanewspaper.xyz/newspaper-browser.php?q=samakal.com	Real
21	টানা তিন ম্যাচে সেঞ্চুরি করলেন এনামুল হক	খেলা	গত আসরের শেষ দিকে টানা তিন ম্যাচে সেঞ্চৃরির কীর্তিটা গড়েছিলেন মোহাম্মদ আশরাফুল। প্রথম ক্রিকেটার হিসেবে ঢাকা প্রিমিয়ার ডিভিশন ক্রিকেট লিগে করেছিলেন কীর্তি। এবার আবাহনীর বিপক্ষে সেঞ্চুরি করে তার পাশে বসলেন এনামুল হক।	http://www.dailyjanakantha.com/details/article/411379/%E0%A6%9F%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A7%81%E0%A6%B0%E0%A6%BF-%E0%A6%95%E0%A6%B0%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%8F%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A7%81%E0%A6%B2-%E0%A6%B9%E0%A6%95	Real
22	এমপিওভুক্তির দাবিতে সড়কে অবস্থান শিক্ষকদের	শিক্ষাঙ্গন	এমপিওভুক্তির দাবিতে সড়ক অবরোধ করে অবস্থান কর্মসূচি পালন করছেন দেশের বিভিন্ন এলাকার নন-এমপিও শিক্ষা প্রতিষ্ঠানের শিক্ষক-কর্মচারীরা। বৃহস্পতিবার সকাল ১১টা থেকে জাতীয় প্রেসক্লাবের সামনের সড়কে অবস্থান নেন তারা। এতে ওই সড়ক দিয়ে যান চলাচল বন্ধ হয়ে যায়। সড়কের উভয়পাশেই যানবাহন আটকা পড়ে। এর আগে পূর্ব ঘোষিত কর্মসূচি অনুযায়ী সকালে প্রধানমন্ত্রীর কার্যালয়ের দিকে পদযাত্রা শুরু করে নন-এমপিও শিক্ষা প্রতিষ্ঠানের শিক্ষক-কর্মচারী ফেডারেশন। কিন্তু পুলিশি বাধার মুখে তাদের পদযাত্রা সেখানেই থেমে যায়।  আন্দোলনরত শিক্ষকরা জানান, এমপিওভুক্তি না করা পর্যন্ত তারা ঘরে ফিরে যাবেন না। নন-এমপিও শিক্ষা প্রতিষ্ঠান শিক্ষক-কর্মচারী ফেডারেশনের সভাপতি অধ্যক্ষ গোলাম মাহমুদুন্নবী ডলার বলেন, 'আমরা সম্পূর্ণ শান্তিপূর্ণভাবে প্রধানমন্ত্রীর কার্যালয়ের দিকে পদযাত্রা করতে চাইলে আমাদের আটকে দেয়া হয়। আমরা প্রধানমন্ত্রীর সাক্ষাৎ চাই, তাকে আমরা আমাদের কথা জানাতে চাই। প্রধানমন্ত্রীর সাক্ষাৎ না পাওয়া পর্যন্ত আমরা রাজপথ ছেড়ে যাব না।' তিনি বলেন, 'এর আগে ২০১৮ সালের ৫ জানুয়ারি প্রধানমন্ত্রীর একান্ত সচিব আমাদের আশ্বাস দিয়ে বলেছিলেন, শিক্ষকদের দাবি মেন নেয়া হয়েছে। আমরা ঘরে ফিরে যাই। কিন্তু দাবি এখনও বাস্তবায়ন হয়নি।'  'আমাদের ধারণা প্রধানমন্ত্রীকে বিষয়টি জানানো-ই হয়নি। আমরা প্রধানমন্ত্রীর সাক্ষাতের মাধ্যমে তাকে বিষয়টি অবহিত করতে চাই। আমাদের বিশ্বাস প্রধানমন্ত্রীর কাছে গেলে তিনি এ দাবি মেনে নেবেন।'	http://www.allbanglanewspaper.xyz/newspapers.php?q=jjdin.com	Real
23	চলতি বছরেই চালু হবে ‘তিনবিঘা এক্সপ্রেস’: রেলপথমন্ত্রী	জাতীয়	লালমনিরহাটের বুড়িমারী-চ্যাংরাবান্ধা রুট দিয়ে চারদেশীয় বাণিজ্যিক যাত্রীবাহী এবং পণ্যবাহী ট্রেন পরিচালনার সম্ভাব্যতা যাচাই ও পরিদর্শনের এসে রেলপথমন্ত্রী নুরুল ইসলাম সুজন বলেছেন, এ রুট দিয়ে চারদেশীয় বাণিজ্যিক কার্যক্রম দ্রুত শুরু হবে। ১৯৬৫ সালের পর ভারতের সঙ্গে বন্ধ হওয়া সব ট্রেনের সংযোগ চালু করা হবে। প্রধানমন্ত্রীর দেয়া প্রতিশ্রুতি বাস্তবায়নে এ বছরের শেষের দিকে ‘তিনবিঘা এক্সপ্রেস’ চালু করা হবে। 	http://www.allbanglanewspaper.xyz/newspapers.php?q=bhorerkagoj.net	Real
24	বাংলাদেশে অপরিশোধিত চিনি রফতানি করতে চায় ভারত	ব্যাবসা-বাণিজ্য	বাংলাদেশে অপরিশোধিত চিনি রফতানি করতে চায় ভারত। একই সঙ্গে রাষ্ট্রায়ত্ত চিনিকলগুলোর আধুনিকায়ন এবং ‘র’সুগার থেকে পরিশোধিত চিনি উৎপাদনে কারিগরি ও প্রযুক্তিগত সহায়তা দিতে আগ্রহ প্রকাশ করেছে পার্শ্ববর্তী এ দেশটি।	http://www.allbanglanewspaper.xyz/newspapers.php?q=arthoniteerkagoj.com	Real
25	‘রোহিঙ্গা প্রত্যাবাসনে আসিয়ান আরো বেশি সম্পৃক্ত হবে’	জাতীয়	দক্ষিণ-পূর্ব এশিয়ার দেশগুলোর সংগঠন আসিয়ান বাংলাদেশ থেকে রোহিঙ্গাদের প্রত্যাবাসনে আরো বেশি সম্পৃক্ত হবে।’ আজ সোমবার ইন্দোনেশিয়ার সফররত পররাষ্ট্রমন্ত্রী রেতনো এল. পি. মারসুদিও প্রধানমন্ত্রী শেখ হাসিনার সঙ্গে সাক্ষাতের সময় এ কথা বলেন। আজ সন্ধ্যায় প্রধানমন্ত্রীর সংসদ ভবনস্থ কার্যালয়ে শেখ হাসিনার সঙ্গে সৌজন্য সাক্ষাৎ করেন তিনি। সাক্ষাৎ শেষে প্রধানমন্ত্রীর প্রেস সচিব ইহসানুল করিম সাংবাদিকদের ব্রিফিং করেন। ইন্দোনেশিয়ার পররাষ্ট্রমন্ত্রী বলেন, ‘রোহিঙ্গাদের জন্য নির্মীয়মান অবকাঠামো দেখতে আসিয়ানের দুইটি টিম মিয়ানমারের রাখাইন রাজ্য সফর করবে।’ প্রধানমন্ত্রী শেখ হাসিনা বলেন, ‘রোহিঙ্গাদের পাশাপাশি মিয়ানমার থেকে অন্য সম্প্রদায়ের লোকজনও বাংলাদেশে প্রবেশের চেষ্টা করছে।’	http://www.allbanglanewspaper.xyz/newspapers.php?q=sorejominbarta.com	Real
26	নবম ওয়েজবোর্ডের বাস্তবায়ন ‘দ্রুতই’, ভাবনায় টিভিও	জাতীয়	সাংবাদিকদের বেতন-ভাতার কাঠামোসহ অন্যান্য পেশাগত সুবিধাদির ব্যাপারে নবম ওয়েজবোর্ড নিয়ে সংশ্লিষ্টদের বিভিন্ন সংগঠন ও তাদের প্রতিনিধিদের সঙ্গে আলাপ-আলোচনা করে দ্রুতই বাস্তবায়নের সিদ্ধান্ত নেওয়া হবে বলে সরকারের পক্ষ থেকে জানানো হয়েছে। আজ শনিবার দুপুরে সচিবালয়ে নবম ওয়েজবোর্ড বাস্তবায়নে গঠিত নতুন মন্ত্রিসভা কমিটির বৈঠক শেষে সাংবাদিকদের এ কথা বলেন আওয়ামী লীগের সাধারণ সম্পাদক এবং সড়ক পরিবহন ও সেতুমন্ত্রী ওবায়দুল কাদের। সকাল ১০টায় তথ্য মন্ত্রণালয়ের সম্মেলন কক্ষে ওবায়দুল কাদেরের সভাপতিত্বে অনুষ্ঠিত বৈঠকে আরো উপস্থিত ছিলেন শিল্পমন্ত্রী নূরুল মজিদ মাহমুদ হুমায়ন, তথ্যমন্ত্রী ড. মো. হাছান মাহমুদ, সংস্কৃতি প্রতিমন্ত্রী কে এম খালিদসহ কমিটির অন্য সদস্যরা। বৈঠক শেষে ওবায়দুল কাদের সাংবাদিকদের আরো বলেন, ‘আগে এ মন্ত্রিসভা কমিটি ছিলে পাঁচ সদস্যের। আমাকে আহ্বায়ক করে এটি এখন সাত সদস্যে উন্নীত করা হয়েছে। আজকেই এর প্রথম বৈঠক অনুষ্ঠিত হলো। আমরা পর্যায়ক্রমে সব স্টেক হোল্ডারের সঙ্গে আলাপ-আলোচনা করে দ্রুতই একটি সিদ্ধান্ত আসতে পারবে বলে আশা করছি।’ এক প্রশ্নের জবাবে সেতুমন্ত্রী বলেন, ‘আমরা সুপারিশ তৈরি করবে। চূড়ান্ত সিদ্ধান্ত নেবে মন্ত্রিসভা। তবে বিষয়টি খুব জটিলও নয়, আবার একেবারে সহজও নয়। আমরা ভেবেচিন্তেই এগুচ্ছি। নির্দিষ্ট সময়ের মধ্যেই সুপারিশ পেশ করতে পারবে বলে আশা করছি।’ টেলিভিশনসহ ইলেক্ট্রনিক গণমাধ্যমে কর্মরত সাংবাদিকদের এ ওয়েজবোর্ডের আওতায় আনা হবে কি না- সাংবাদিকদের এমন প্রশ্নের জবাবে তথ্যমন্ত্রী ড. হাছান মাহমুদ বলেছেন, টেলিভিশন বা ইলেক্ট্রনিক গণমাধ্যমে কর্মরতদের বেতন কাঠামোর আওতায় আনার বিষয়ে আমরা ইতিবাচক আলাপ-আলোচনা করছি। আশা করছি, এ বিষয়েও একটি সিদ্ধান্ত হবে। গত ২১ জানুয়ারি প্রধানমন্ত্রী শেখ হাসিনার সভাপতিত্বে অনুষ্ঠিত বর্তমান সরকারের প্রথম মন্ত্রিসভা বৈঠকে সাংবাদিকদের জন্য নবম ওয়েজবোর্ড গঠনে নতুন কমিটি গঠন করা হয়।	http://www.allbanglanewspaper.xyz/newspapers.php?q=sorejominbarta.com	Real
